,Country
0,Afghanistan
1,Albania
2,Algeria
3,American Samoa
4,Angola
5,Anguilla
6,Argentina
7,Armenia
8,Australia
9,Austria
10,Azerbaijan
11,Bahamas
12,Bangladesh
13,Barbados
14,Belarus
15,Belgium
16,Belize
17,Benin
18,Bhutan
19,Bolivia
20,Bosnia and Herzegovina
21,Botswana
22,Brazil
23,Bulgaria
24,Burkina Faso
25,Burundi
26,Cambodia
27,Cameroon
28,Canada
29,Cape Verde
30,Central African Republic
31,Chad
32,Chile
33,China
34,Colombia
35,Comoros
36,Congo
37,Costa Rica
38,Cote d'Ivoire
39,Croatia
40,Cuba
41,Czechia
42,Czechoslovakia
43,Democratic Republic of Congo
44,Djibouti
45,Dominican Republic
46,Ecuador
47,Egypt
48,El Salvador
49,Eritrea
50,Eswatini
51,Ethiopia
52,Fiji
53,Finland
54,France
55,French Guiana
56,French Polynesia
57,Gabon
58,Gambia
59,Georgia
60,Germany
61,Ghana
62,Greece
63,Grenada
64,Guadeloupe
65,Guatemala
66,Guinea
67,Guinea-Bissau
68,Guyana
69,Haiti
70,Honduras
71,Hong Kong
72,Hungary
73,Iceland
74,India
75,Indonesia
76,Iran
77,Iraq
78,Ireland
79,Israel
80,Italy
81,Jamaica
82,Japan
83,Jordan
84,Kazakhstan
85,Kenya
86,Kiribati
87,Kuwait
88,Kyrgyzstan
89,Laos
90,Lebanon
91,Lesotho
92,Liberia
93,Libya
94,Lithuania
95,Luxembourg
96,Madagascar
97,Malawi
98,Malaysia
99,Maldives
100,Mali
101,Marshall Islands
102,Mauritania
103,Mauritius
104,Mexico
105,Micronesia
106,Moldova
107,Mongolia
108,Montenegro
109,Morocco
110,Mozambique
111,Myanmar
112,Namibia
113,Nepal
114,Netherlands
115,New Zealand
116,Nicaragua
117,Niger
118,Nigeria
119,North Korea
120,North Macedonia
121,Norway
122,Oman
123,Pakistan
124,Palestine
125,Panama
126,Papua New Guinea
127,Paraguay
128,Peru
129,Philippines
130,Poland
131,Portugal
132,Puerto Rico
133,Qatar
134,Romania
135,Russia
136,Rwanda
137,Saint Kitts and Nevis
138,Saint Lucia
139,Saint Vincent and the Grenadines
140,Samoa
141,Saudi Arabia
142,Senegal
143,Serbia
144,Serbia-Montenegro
145,Seychelles
146,Sierra Leone
147,Slovakia
148,Slovenia
149,Solomon Islands
150,Somalia
151,South Africa
152,South Korea
153,South Sudan
154,Soviet Union
155,Spain
156,Sri Lanka
157,Sudan
158,Suriname
159,Sweden
160,Switzerland
161,Syria
162,Taiwan
163,Tajikistan
164,Tanzania
165,Thailand
166,Timor
167,Togo
168,Trinidad and Tobago
169,Tunisia
170,Turkey
171,Turkmenistan
172,Uganda
173,Ukraine
174,United Arab Emirates
175,United Kingdom
176,United States
177,Uruguay
178,Uzbekistan
179,Vanuatu
180,Venezuela
181,Vietnam
182,World
183,Yemen
184,Yugoslavia
185,Zambia
186,Zimbabwe
